名称,手环,采集时间,开始时间,结束时间,入库时间,num-1,num-2,num-3
B20017,c7d67d64b887,2022-11-19 22:07:51,2022-11-19 21:27:51,2022-11-19 22:07:51,2022-11-22 13:24:35,144,85,0
B20017,c7d67d64b887,2022-11-19 22:07:51,2022-11-19 21:27:51,2022-11-19 22:07:51,2022-11-22 13:24:35,87,85,0
B20017,c7d67d64b887,2022-11-19 22:07:51,2022-11-19 21:27:51,2022-11-19 22:07:51,2022-11-22 13:24:35,22,85,0
B20017,c7d67d64b887,2022-11-19 22:07:51,2022-11-19 21:27:51,2022-11-19 22:07:51,2022-11-22 13:24:35,22,85,0
B20017,c7d67d64b887,2022-11-19 22:07:51,2022-11-19 21:27:51,2022-11-19 22:07:51,2022-11-22 13:24:35,32,85,0
B20017,c7d67d64b887,2022-11-19 22:07:51,2022-11-19 21:27:51,2022-11-19 22:07:51,2022-11-22 13:24:35,50,85,0
B20017,c7d67d64b887,2022-11-19 22:07:51,2022-11-19 21:27:51,2022-11-19 22:07:51,2022-11-22 13:24:35,64,85,0
B20017,c7d67d64b887,2022-11-19 22:07:51,2022-11-19 21:27:51,2022-11-19 22:07:51,2022-11-22 13:24:35,66,85,0
B20017,c7d67d64b887,2022-11-19 22:07:51,2022-11-19 21:27:51,2022-11-19 22:07:51,2022-11-22 13:24:35,72,85,0
B20017,c7d67d64b887,2022-11-19 22:07:51,2022-11-19 21:27:51,2022-11-19 22:07:51,2022-11-22 13:24:35,89,85,0
B20017,c7d67d64b887,2022-11-19 22:07:51,2022-11-19 21:27:51,2022-11-19 22:07:51,2022-11-22 13:24:35,96,85,0
B20017,c7d67d64b887,2022-11-19 22:07:51,2022-11-19 21:27:51,2022-11-19 22:07:51,2022-11-22 13:24:35,85,85,0
B20017,c7d67d64b887,2022-11-19 22:07:51,2022-11-19 21:27:51,2022-11-19 22:07:51,2022-11-22 13:24:35,100,85,0
B20017,c7d67d64b887,2022-11-19 22:07:51,2022-11-19 21:27:51,2022-11-19 22:07:51,2022-11-22 13:24:35,97,85,0
B20017,c7d67d64b887,2022-11-19 22:07:51,2022-11-19 21:27:51,2022-11-19 22:07:51,2022-11-22 13:24:35,89,85,0
B20017,c7d67d64b887,2022-11-19 22:07:51,2022-11-19 21:27:51,2022-11-19 22:07:51,2022-11-22 13:24:35,86,85,0
B20017,c7d67d64b887,2022-11-19 22:07:51,2022-11-19 21:27:51,2022-11-19 22:07:51,2022-11-22 13:24:35,80,85,0
B20017,c7d67d64b887,2022-11-19 22:07:51,2022-11-19 21:27:51,2022-11-19 22:07:51,2022-11-22 13:24:35,65,85,0
