名称,手环,采集时间,开始时间,结束时间,入库时间,num-1,num-2,num-3
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,113,121,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,116,121,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,9,121,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,114,128,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,151,128,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,151,128,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,281,128,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,103,128,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,112,121,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,105,121,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,21,120,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,113,120,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,116,120,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,152,120,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,278,120,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,292,120,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,262,120,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,131,120,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,71,120,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,21,120,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,89,119,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,130,119,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,51,119,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,1,118,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,7,118,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,54,118,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,73,118,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,281,117,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,128,117,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,278,117,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,131,117,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,7,118,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,7,118,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,84,118,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,293,118,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,256,118,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,153,118,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,147,118,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,128,118,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,105,118,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,129,118,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,112,118,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,118,118,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,83,118,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,36,118,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,96,118,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,265,118,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,260,118,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,146,118,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,290,118,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,281,118,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,292,118,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,272,118,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,259,118,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,137,118,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,134,118,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,120,118,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,153,118,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,23,118,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,23,118,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,48,117,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,55,117,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,20,117,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,51,118,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,134,118,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,130,118,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,96,118,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,119,118,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,153,118,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,278,118,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,257,118,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,56,118,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,1,118,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,4,117,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,53,118,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,82,118,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,104,118,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,130,118,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,133,118,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,119,118,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,260,118,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,263,118,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,275,118,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,279,118,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,115,118,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,115,118,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,85,118,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,275,118,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,100,118,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,49,119,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,293,119,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,87,119,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,48,120,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,150,120,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,276,120,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,100,120,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,50,120,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,18,120,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,36,120,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,104,120,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,153,120,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,275,120,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,99,120,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,37,121,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,52,121,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,65,121,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,115,121,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,32,121,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,4,120,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,8,120,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,66,120,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,49,120,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,49,120,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,34,120,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,48,120,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,70,120,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,64,120,0
B230059,da91b00106f5,2023-03-07 22:37:13,,,2023-03-10 13:36:14,72,120,0
