名称,手环,采集时间,开始时间,结束时间,入库时间,num-1,num-2,num-3
B2209135,efd04ef8522a,2022-11-05 02:16:32,2022-11-05 00:41:32,2022-11-05 02:16:32,2022-11-05 17:58:12,145,115,0
B2209135,efd04ef8522a,2022-11-05 02:16:32,2022-11-05 00:41:32,2022-11-05 02:16:32,2022-11-05 17:58:12,147,114,0
B2209135,efd04ef8522a,2022-11-05 02:16:32,2022-11-05 00:41:32,2022-11-05 02:16:32,2022-11-05 17:58:12,89,114,0
B2209135,efd04ef8522a,2022-11-05 02:16:32,2022-11-05 00:41:32,2022-11-05 02:16:32,2022-11-05 17:58:12,32,120,0
B2209135,efd04ef8522a,2022-11-05 02:16:32,2022-11-05 00:41:32,2022-11-05 02:16:32,2022-11-05 17:58:12,32,120,0
B2209135,efd04ef8522a,2022-11-05 02:16:32,2022-11-05 00:41:32,2022-11-05 02:16:32,2022-11-05 17:58:12,117,121,0
B2209135,efd04ef8522a,2022-11-05 02:16:32,2022-11-05 00:41:32,2022-11-05 02:16:32,2022-11-05 17:58:12,145,121,0
B2209135,efd04ef8522a,2022-11-05 02:16:32,2022-11-05 00:41:32,2022-11-05 02:16:32,2022-11-05 17:58:12,273,121,0
B2209135,efd04ef8522a,2022-11-05 02:16:32,2022-11-05 00:41:32,2022-11-05 02:16:32,2022-11-05 17:58:12,153,121,0
B2209135,efd04ef8522a,2022-11-05 02:16:32,2022-11-05 00:41:32,2022-11-05 02:16:32,2022-11-05 17:58:12,262,121,0
B2209135,efd04ef8522a,2022-11-05 02:16:32,2022-11-05 00:41:32,2022-11-05 02:16:32,2022-11-05 17:58:12,120,121,0
B2209135,efd04ef8522a,2022-11-05 02:16:32,2022-11-05 00:41:32,2022-11-05 02:16:32,2022-11-05 17:58:12,116,121,0
B2209135,efd04ef8522a,2022-11-05 02:16:32,2022-11-05 00:41:32,2022-11-05 02:16:32,2022-11-05 17:58:12,136,121,0
B2209135,efd04ef8522a,2022-11-05 02:16:32,2022-11-05 00:41:32,2022-11-05 02:16:32,2022-11-05 17:58:12,135,121,0
B2209135,efd04ef8522a,2022-11-05 02:16:32,2022-11-05 00:41:32,2022-11-05 02:16:32,2022-11-05 17:58:12,150,121,0
B2209135,efd04ef8522a,2022-11-05 02:16:32,2022-11-05 00:41:32,2022-11-05 02:16:32,2022-11-05 17:58:12,120,121,0
B2209135,efd04ef8522a,2022-11-05 02:16:32,2022-11-05 00:41:32,2022-11-05 02:16:32,2022-11-05 17:58:12,73,121,0
B2209135,efd04ef8522a,2022-11-05 02:16:32,2022-11-05 00:41:32,2022-11-05 02:16:32,2022-11-05 17:58:12,86,121,0
B2209135,efd04ef8522a,2022-11-05 02:16:32,2022-11-05 00:41:32,2022-11-05 02:16:32,2022-11-05 17:58:12,291,121,0
