名称,手环,采集时间,开始时间,结束时间,入库时间,num-1,num-2,num-3
B2209126,eff4cd389450,2022-10-20 20:52:27,2022-10-20 20:42:27,2022-10-20 20:52:27,2022-10-20 22:49:40,65,37,0
B2209126,eff4cd389450,2022-10-20 20:52:27,2022-10-20 20:42:27,2022-10-20 20:52:27,2022-10-20 22:49:40,88,36,0
B2209126,eff4cd389450,2022-10-20 20:52:27,2022-10-20 20:42:27,2022-10-20 20:52:27,2022-10-20 22:49:40,134,36,0
B2209126,eff4cd389450,2022-10-20 20:52:27,2022-10-20 20:42:27,2022-10-20 20:52:27,2022-10-20 22:49:40,39,37,0
B2209126,eff4cd389450,2022-10-20 20:52:27,2022-10-20 20:42:27,2022-10-20 20:52:27,2022-10-20 22:49:40,134,36,0
B2209126,eff4cd389450,2022-10-20 20:52:27,2022-10-20 20:42:27,2022-10-20 20:52:27,2022-10-20 22:49:40,112,36,0
B2209126,eff4cd389450,2022-10-20 20:52:27,2022-10-20 20:42:27,2022-10-20 20:52:27,2022-10-20 22:49:40,121,36,0
B2209126,eff4cd389450,2022-10-20 20:52:27,2022-10-20 20:42:27,2022-10-20 20:52:27,2022-10-20 22:49:40,149,36,0
B2209126,eff4cd389450,2022-10-20 20:52:27,2022-10-20 20:42:27,2022-10-20 20:52:27,2022-10-20 22:49:40,150,36,0
B2209126,eff4cd389450,2022-10-20 20:52:27,2022-10-20 20:42:27,2022-10-20 20:52:27,2022-10-20 22:49:40,72,36,0
B2209126,eff4cd389450,2022-10-20 20:52:27,2022-10-20 20:42:27,2022-10-20 20:52:27,2022-10-20 22:49:40,132,36,0
B2209126,eff4cd389450,2022-10-20 20:52:27,2022-10-20 20:42:27,2022-10-20 20:52:27,2022-10-20 22:49:40,294,36,0
B2209126,eff4cd389450,2022-10-20 20:52:27,2022-10-20 20:42:27,2022-10-20 20:52:27,2022-10-20 22:49:40,151,36,0
B2209126,eff4cd389450,2022-10-20 20:52:27,2022-10-20 20:42:27,2022-10-20 20:52:27,2022-10-20 22:49:40,150,36,0
B2209126,eff4cd389450,2022-10-20 20:52:27,2022-10-20 20:42:27,2022-10-20 20:52:27,2022-10-20 22:49:40,114,36,0
B2209126,eff4cd389450,2022-10-20 20:52:27,2022-10-20 20:42:27,2022-10-20 20:52:27,2022-10-20 22:49:40,49,36,0
B2209126,eff4cd389450,2022-10-20 20:52:27,2022-10-20 20:42:27,2022-10-20 20:52:27,2022-10-20 22:49:40,38,37,0
B2209126,eff4cd389450,2022-10-20 20:52:27,2022-10-20 20:42:27,2022-10-20 20:52:27,2022-10-20 22:49:40,133,37,0
B2209126,eff4cd389450,2022-10-20 20:52:27,2022-10-20 20:42:27,2022-10-20 20:52:27,2022-10-20 22:49:40,280,37,0
B2209126,eff4cd389450,2022-10-20 20:52:27,2022-10-20 20:42:27,2022-10-20 20:52:27,2022-10-20 22:49:40,274,37,0
B2209126,eff4cd389450,2022-10-20 20:52:27,2022-10-20 20:42:27,2022-10-20 20:52:27,2022-10-20 22:49:40,278,37,0
B2209126,eff4cd389450,2022-10-20 20:52:27,2022-10-20 20:42:27,2022-10-20 20:52:27,2022-10-20 22:49:40,100,37,0
B2209126,eff4cd389450,2022-10-20 20:52:27,2022-10-20 20:42:27,2022-10-20 20:52:27,2022-10-20 22:49:40,69,36,0
B2209126,eff4cd389450,2022-10-20 20:52:27,2022-10-20 20:42:27,2022-10-20 20:52:27,2022-10-20 22:49:40,147,36,0
B2209126,eff4cd389450,2022-10-20 20:52:27,2022-10-20 20:42:27,2022-10-20 20:52:27,2022-10-20 22:49:40,132,36,0
B2209126,eff4cd389450,2022-10-20 20:52:27,2022-10-20 20:42:27,2022-10-20 20:52:27,2022-10-20 22:49:40,105,36,0
B2209126,eff4cd389450,2022-10-20 20:52:27,2022-10-20 20:42:27,2022-10-20 20:52:27,2022-10-20 22:49:40,81,36,0
B2209126,eff4cd389450,2022-10-20 20:52:27,2022-10-20 20:42:27,2022-10-20 20:52:27,2022-10-20 22:49:40,51,36,0
B2209126,eff4cd389450,2022-10-20 20:52:27,2022-10-20 20:42:27,2022-10-20 20:52:27,2022-10-20 22:49:40,18,36,0
B2209126,eff4cd389450,2022-10-20 20:52:27,2022-10-20 20:42:27,2022-10-20 20:52:27,2022-10-20 22:49:40,21,36,0
B2209126,eff4cd389450,2022-10-20 20:52:27,2022-10-20 20:42:27,2022-10-20 20:52:27,2022-10-20 22:49:40,25,36,0
B2209126,eff4cd389450,2022-10-20 20:52:27,2022-10-20 20:42:27,2022-10-20 20:52:27,2022-10-20 22:49:40,71,36,0
B2209126,eff4cd389450,2022-10-20 20:52:27,2022-10-20 20:42:27,2022-10-20 20:52:27,2022-10-20 22:49:40,132,36,0
B2209126,eff4cd389450,2022-10-20 20:52:27,2022-10-20 20:42:27,2022-10-20 20:52:27,2022-10-20 22:49:40,151,36,0
B2209126,eff4cd389450,2022-10-20 20:52:27,2022-10-20 20:42:27,2022-10-20 20:52:27,2022-10-20 22:49:40,120,36,0
B2209126,eff4cd389450,2022-10-20 20:52:27,2022-10-20 20:42:27,2022-10-20 20:52:27,2022-10-20 22:49:40,48,36,0
B2209126,eff4cd389450,2022-10-20 20:52:27,2022-10-20 20:42:27,2022-10-20 20:52:27,2022-10-20 22:49:40,37,37,0
B2209126,eff4cd389450,2022-10-20 20:52:27,2022-10-20 20:42:27,2022-10-20 20:52:27,2022-10-20 22:49:40,133,37,0
B2209126,eff4cd389450,2022-10-20 20:52:27,2022-10-20 20:42:27,2022-10-20 20:52:27,2022-10-20 22:49:40,277,37,0
B2209126,eff4cd389450,2022-10-20 20:52:27,2022-10-20 20:42:27,2022-10-20 20:52:27,2022-10-20 22:49:40,32,37,0
B2209126,eff4cd389450,2022-10-20 20:52:27,2022-10-20 20:42:27,2022-10-20 20:52:27,2022-10-20 22:49:40,49,38,0
B2209126,eff4cd389450,2022-10-20 20:52:27,2022-10-20 20:42:27,2022-10-20 20:52:27,2022-10-20 22:49:40,3,38,0
B2209126,eff4cd389450,2022-10-20 20:52:27,2022-10-20 20:42:27,2022-10-20 20:52:27,2022-10-20 22:49:40,274,37,0
B2209126,eff4cd389450,2022-10-20 20:52:27,2022-10-20 20:42:27,2022-10-20 20:52:27,2022-10-20 22:49:40,100,37,0
B2209126,eff4cd389450,2022-10-20 20:52:27,2022-10-20 20:42:27,2022-10-20 20:52:27,2022-10-20 22:49:40,36,37,0
B2209126,eff4cd389450,2022-10-20 20:52:27,2022-10-20 20:42:27,2022-10-20 20:52:27,2022-10-20 22:49:40,53,37,0
B2209126,eff4cd389450,2022-10-20 20:52:27,2022-10-20 20:42:27,2022-10-20 20:52:27,2022-10-20 22:49:40,86,37,0
B2209126,eff4cd389450,2022-10-20 20:52:27,2022-10-20 20:42:27,2022-10-20 20:52:27,2022-10-20 22:49:40,128,37,0
B2209126,eff4cd389450,2022-10-20 20:52:27,2022-10-20 20:42:27,2022-10-20 20:52:27,2022-10-20 22:49:40,152,37,0
B2209126,eff4cd389450,2022-10-20 20:52:27,2022-10-20 20:42:27,2022-10-20 20:52:27,2022-10-20 22:49:40,256,37,0
B2209126,eff4cd389450,2022-10-20 20:52:27,2022-10-20 20:42:27,2022-10-20 20:52:27,2022-10-20 22:49:40,113,37,0
B2209126,eff4cd389450,2022-10-20 20:52:27,2022-10-20 20:42:27,2022-10-20 20:52:27,2022-10-20 22:49:40,9,37,0
B2209126,eff4cd389450,2022-10-20 20:52:27,2022-10-20 20:42:27,2022-10-20 20:52:27,2022-10-20 22:49:40,32,36,0
B2209126,eff4cd389450,2022-10-20 20:52:27,2022-10-20 20:42:27,2022-10-20 20:52:27,2022-10-20 22:49:40,38,36,0
B2209126,eff4cd389450,2022-10-20 20:52:27,2022-10-20 20:42:27,2022-10-20 20:52:27,2022-10-20 22:49:40,1,37,0
B2209126,eff4cd389450,2022-10-20 20:52:27,2022-10-20 20:42:27,2022-10-20 20:52:27,2022-10-20 22:49:40,66,37,0
B2209126,eff4cd389450,2022-10-20 20:52:27,2022-10-20 20:42:27,2022-10-20 20:52:27,2022-10-20 22:49:40,136,37,0
B2209126,eff4cd389450,2022-10-20 20:52:27,2022-10-20 20:42:27,2022-10-20 20:52:27,2022-10-20 22:49:40,295,37,0
B2209126,eff4cd389450,2022-10-20 20:52:27,2022-10-20 20:42:27,2022-10-20 20:52:27,2022-10-20 22:49:40,150,37,0
B2209126,eff4cd389450,2022-10-20 20:52:27,2022-10-20 20:42:27,2022-10-20 20:52:27,2022-10-20 22:49:40,131,37,0
