名称,手环,采集时间,开始时间,结束时间,入库时间,num-1,num-2,num-3
null,ru3pomjgeu14,null,null,null,null,132,97,0
null,ru3pomjgeu14,null,null,null,null,137,96,0
null,ru3pomjgeu14,null,null,null,null,132,98,0
null,ru3pomjgeu14,null,null,null,null,132,96,0
null,ru3pomjgeu14,null,null,null,null,135,96,0
null,ru3pomjgeu14,null,null,null,null,133,97,0
null,ru3pomjgeu14,null,null,null,null,140,97,0
null,ru3pomjgeu14,null,null,null,null,140,96,0
null,ru3pomjgeu14,null,null,null,null,133,98,0
null,ru3pomjgeu14,null,null,null,null,133,97,0
null,ru3pomjgeu14,null,null,null,null,132,96,0
null,ru3pomjgeu14,null,null,null,null,134,95,0
null,ru3pomjgeu14,null,null,null,null,135,96,0
null,ru3pomjgeu14,null,null,null,null,129,96,0
null,ru3pomjgeu14,null,null,null,null,131,98,0
null,ru3pomjgeu14,null,null,null,null,132,96,0
null,ru3pomjgeu14,null,null,null,null,137,96,0
null,ru3pomjgeu14,null,null,null,null,131,96,0
null,ru3pomjgeu14,null,null,null,null,133,98,0
null,ru3pomjgeu14,null,null,null,null,130,98,0
null,ru3pomjgeu14,null,null,null,null,134,95,0
null,ru3pomjgeu14,null,null,null,null,132,97,0
null,ru3pomjgeu14,null,null,null,null,130,98,0
null,ru3pomjgeu14,null,null,null,null,136,97,0
null,ru3pomjgeu14,null,null,null,null,135,97,0
null,ru3pomjgeu14,null,null,null,null,135,98,0
null,ru3pomjgeu14,null,null,null,null,137,96,0
null,ru3pomjgeu14,null,null,null,null,136,98,0
null,ru3pomjgeu14,null,null,null,null,131,97,0
null,ru3pomjgeu14,null,null,null,null,137,95,0
null,ru3pomjgeu14,null,null,null,null,135,96,0
null,ru3pomjgeu14,null,null,null,null,126,96,0
null,ru3pomjgeu14,null,null,null,null,127,95,0
null,ru3pomjgeu14,null,null,null,null,131,98,0
null,ru3pomjgeu14,null,null,null,null,134,98,0
null,ru3pomjgeu14,null,null,null,null,131,97,0
null,ru3pomjgeu14,null,null,null,null,136,97,0
null,ru3pomjgeu14,null,null,null,null,131,97,0
null,ru3pomjgeu14,null,null,null,null,135,99,0
null,ru3pomjgeu14,null,null,null,null,132,99,0
null,ru3pomjgeu14,null,null,null,null,133,96,0
null,ru3pomjgeu14,null,null,null,null,132,97,0
null,ru3pomjgeu14,null,null,null,null,130,99,0
null,ru3pomjgeu14,null,null,null,null,130,95,0
null,ru3pomjgeu14,null,null,null,null,135,97,0
null,ru3pomjgeu14,null,null,null,null,129,98,0
null,ru3pomjgeu14,null,null,null,null,138,98,0
null,ru3pomjgeu14,null,null,null,null,136,96,0
null,ru3pomjgeu14,null,null,null,null,124,96,0
null,ru3pomjgeu14,null,null,null,null,137,99,0
null,ru3pomjgeu14,null,null,null,null,133,97,0
null,ru3pomjgeu14,null,null,null,null,130,97,0
null,ru3pomjgeu14,null,null,null,null,133,96,0
null,ru3pomjgeu14,null,null,null,null,133,95,0
null,ru3pomjgeu14,null,null,null,null,129,98,0
null,ru3pomjgeu14,null,null,null,null,129,98,0
null,ru3pomjgeu14,null,null,null,null,126,98,0
null,ru3pomjgeu14,null,null,null,null,137,97,0
null,ru3pomjgeu14,null,null,null,null,130,97,0
null,ru3pomjgeu14,null,null,null,null,129,96,0
null,ru3pomjgeu14,null,null,null,null,128,99,0
null,ru3pomjgeu14,null,null,null,null,131,97,0
null,ru3pomjgeu14,null,null,null,null,132,98,0
null,ru3pomjgeu14,null,null,null,null,128,95,0
null,ru3pomjgeu14,null,null,null,null,127,97,0
null,ru3pomjgeu14,null,null,null,null,132,98,0
null,ru3pomjgeu14,null,null,null,null,137,98,0
null,ru3pomjgeu14,null,null,null,null,134,96,0
null,ru3pomjgeu14,null,null,null,null,140,97,0
null,ru3pomjgeu14,null,null,null,null,135,98,0
null,ru3pomjgeu14,null,null,null,null,125,96,0
null,ru3pomjgeu14,null,null,null,null,134,95,0
null,ru3pomjgeu14,null,null,null,null,127,95,0
null,ru3pomjgeu14,null,null,null,null,134,99,0
null,ru3pomjgeu14,null,null,null,null,133,96,0
null,ru3pomjgeu14,null,null,null,null,132,96,0
null,ru3pomjgeu14,null,null,null,null,134,98,0
null,ru3pomjgeu14,null,null,null,null,131,97,0
null,ru3pomjgeu14,null,null,null,null,138,98,0
null,ru3pomjgeu14,null,null,null,null,137,96,0
null,ru3pomjgeu14,null,null,null,null,135,96,0
null,ru3pomjgeu14,null,null,null,null,134,96,0
null,ru3pomjgeu14,null,null,null,null,142,97,0
null,ru3pomjgeu14,null,null,null,null,130,97,0
null,ru3pomjgeu14,null,null,null,null,133,98,0
null,ru3pomjgeu14,null,null,null,null,135,96,0
null,ru3pomjgeu14,null,null,null,null,133,99,0
null,ru3pomjgeu14,null,null,null,null,138,96,0
null,ru3pomjgeu14,null,null,null,null,131,98,0
null,ru3pomjgeu14,null,null,null,null,130,97,0
null,ru3pomjgeu14,null,null,null,null,128,96,0
null,ru3pomjgeu14,null,null,null,null,138,95,0
null,ru3pomjgeu14,null,null,null,null,134,96,0
null,ru3pomjgeu14,null,null,null,null,130,96,0
null,ru3pomjgeu14,null,null,null,null,129,95,0
null,ru3pomjgeu14,null,null,null,null,135,97,0
null,ru3pomjgeu14,null,null,null,null,133,98,0
null,ru3pomjgeu14,null,null,null,null,137,97,0
null,ru3pomjgeu14,null,null,null,null,135,96,0
