名称,手环,采集时间,开始时间,结束时间,入库时间,num-1,num-2,num-3
null,szy72isrfejp,null,null,null,null,54,65,0
null,szy72isrfejp,null,null,null,null,56,63,0
null,szy72isrfejp,null,null,null,null,53,66,0
null,szy72isrfejp,null,null,null,null,51,65,0
null,szy72isrfejp,null,null,null,null,51,66,0
null,szy72isrfejp,null,null,null,null,47,64,0
null,szy72isrfejp,null,null,null,null,48,66,0
null,szy72isrfejp,null,null,null,null,52,64,0
null,szy72isrfejp,null,null,null,null,60,65,0
null,szy72isrfejp,null,null,null,null,52,64,0
null,szy72isrfejp,null,null,null,null,53,65,0
null,szy72isrfejp,null,null,null,null,53,65,0
null,szy72isrfejp,null,null,null,null,57,63,0
null,szy72isrfejp,null,null,null,null,48,65,0
null,szy72isrfejp,null,null,null,null,47,64,0
null,szy72isrfejp,null,null,null,null,51,65,0
null,szy72isrfejp,null,null,null,null,46,66,0
null,szy72isrfejp,null,null,null,null,55,66,0
null,szy72isrfejp,null,null,null,null,54,66,0
null,szy72isrfejp,null,null,null,null,56,64,0
null,szy72isrfejp,null,null,null,null,54,63,0
null,szy72isrfejp,null,null,null,null,53,65,0
null,szy72isrfejp,null,null,null,null,52,65,0
null,szy72isrfejp,null,null,null,null,55,66,0
null,szy72isrfejp,null,null,null,null,48,65,0
null,szy72isrfejp,null,null,null,null,52,67,0
null,szy72isrfejp,null,null,null,null,46,65,0
null,szy72isrfejp,null,null,null,null,51,64,0
null,szy72isrfejp,null,null,null,null,52,64,0
null,szy72isrfejp,null,null,null,null,56,65,0
null,szy72isrfejp,null,null,null,null,50,66,0
null,szy72isrfejp,null,null,null,null,46,65,0
null,szy72isrfejp,null,null,null,null,53,66,0
null,szy72isrfejp,null,null,null,null,54,66,0
null,szy72isrfejp,null,null,null,null,50,66,0
null,szy72isrfejp,null,null,null,null,46,66,0
null,szy72isrfejp,null,null,null,null,56,63,0
null,szy72isrfejp,null,null,null,null,47,64,0
null,szy72isrfejp,null,null,null,null,52,65,0
null,szy72isrfejp,null,null,null,null,48,64,0
null,szy72isrfejp,null,null,null,null,51,65,0
null,szy72isrfejp,null,null,null,null,48,63,0
null,szy72isrfejp,null,null,null,null,50,64,0
null,szy72isrfejp,null,null,null,null,53,66,0
null,szy72isrfejp,null,null,null,null,55,63,0
null,szy72isrfejp,null,null,null,null,46,65,0
null,szy72isrfejp,null,null,null,null,51,65,0
null,szy72isrfejp,null,null,null,null,54,66,0
null,szy72isrfejp,null,null,null,null,51,64,0
null,szy72isrfejp,null,null,null,null,48,65,0
null,szy72isrfejp,null,null,null,null,50,65,0
null,szy72isrfejp,null,null,null,null,53,66,0
null,szy72isrfejp,null,null,null,null,45,65,0
null,szy72isrfejp,null,null,null,null,46,64,0
null,szy72isrfejp,null,null,null,null,50,64,0
null,szy72isrfejp,null,null,null,null,55,65,0
null,szy72isrfejp,null,null,null,null,51,65,0
null,szy72isrfejp,null,null,null,null,50,65,0
null,szy72isrfejp,null,null,null,null,48,64,0
null,szy72isrfejp,null,null,null,null,49,66,0
null,szy72isrfejp,null,null,null,null,57,64,0
null,szy72isrfejp,null,null,null,null,53,64,0
null,szy72isrfejp,null,null,null,null,48,65,0
null,szy72isrfejp,null,null,null,null,54,65,0
null,szy72isrfejp,null,null,null,null,53,66,0
null,szy72isrfejp,null,null,null,null,48,65,0
